"branch","state","state_lc","year","n"
"Air Force","Alabama","alabama",1963,1
"Air Force","Alabama","alabama",1965,2
"Air Force","Alabama","alabama",1966,3
"Air Force","Alabama","alabama",1967,14
"Air Force","Alabama","alabama",1968,8
"Air Force","Alabama","alabama",1969,5
"Air Force","Alabama","alabama",1970,5
"Air Force","Alabama","alabama",1971,4
"Air Force","Alabama","alabama",1972,5
"Air Force","Alabama","alabama",1975,1
"Air Force","Alaska","alaska",1967,1
"Air Force","Arizona","arizona",1965,2
"Air Force","Arizona","arizona",1966,4
"Air Force","Arizona","arizona",1967,2
"Air Force","Arizona","arizona",1968,6
"Air Force","Arizona","arizona",1969,3
"Air Force","Arizona","arizona",1970,2
"Air Force","Arizona","arizona",1971,1
"Air Force","Arizona","arizona",1972,4
"Air Force","Arizona","arizona",1975,2
"Air Force","Arkansas","arkansas",1965,1
"Air Force","Arkansas","arkansas",1966,3
"Air Force","Arkansas","arkansas",1967,8
"Air Force","Arkansas","arkansas",1968,5
"Air Force","Arkansas","arkansas",1969,1
"Air Force","Arkansas","arkansas",1970,5
"Air Force","Arkansas","arkansas",1971,1
"Air Force","Arkansas","arkansas",1972,5
"Air Force","California","california",1962,1
"Air Force","California","california",1963,8
"Air Force","California","california",1964,8
"Air Force","California","california",1965,17
"Air Force","California","california",1966,28
"Air Force","California","california",1967,32
"Air Force","California","california",1968,33
"Air Force","California","california",1969,27
"Air Force","California","california",1970,16
"Air Force","California","california",1971,5
"Air Force","California","california",1972,16
"Air Force","California","california",1973,1
"Air Force","California","california",1975,11
"Air Force","Colorado","colorado",1965,3
"Air Force","Colorado","colorado",1966,7
"Air Force","Colorado","colorado",1967,11
"Air Force","Colorado","colorado",1968,7
"Air Force","Colorado","colorado",1969,7
"Air Force","Colorado","colorado",1970,2
"Air Force","Colorado","colorado",1971,4
"Air Force","Colorado","colorado",1972,4
"Air Force","Connecticut","connecticut",1961,1
"Air Force","Connecticut","connecticut",1966,8
"Air Force","Connecticut","connecticut",1967,5
"Air Force","Connecticut","connecticut",1968,7
"Air Force","Connecticut","connecticut",1969,3
"Air Force","Connecticut","connecticut",1970,3
"Air Force","Connecticut","connecticut",1971,3
"Air Force","Connecticut","connecticut",1972,6
